"name","division","address_raw","phone","email","website"
"King's Lynn Town","North","Docherty Walks Stadium, Tennyson Road, Kings Lynn, Norfolk PE30 5PB","01553 760060","office@kltown.co.uk","www.kltown.co.uk"
"Leamington","North","Your Co-op Community Stadium Harbury Lane, Bishops Tachbrook, Leamington Spa CV33 9QB","01926 430406","info@leamingtonfc.co.uk","www.leamingtonfc.co.uk"
"Macclesfield","North","The Leasing.com Stadium, London Road, Macclesfield, SK11 7SP","07801 090888","info@macclesfieldfc.com","www.macclesfieldfc.com"
"Marine","North","The Marine Travel Arena, College Road, Crosby, Liverpool, L23 3AS","07762 711714","secretary@marinefc.com","www.marinefc.com"
"Merthyr Town","North","Merthyr Town Football Club, Park Terrace, Merthyr Tydfil, CF47 8RF","07957 712225","merthyrsec@gmail.com","www.merthyrtownfc.co.uk"
"Oxford City","North","Oxford City Football Club, Marsh Lane, Marston, Oxford, OX3 0NQ","01865 750906","club@oxcityfc.co.uk","www.oxfordcityfc.co.uk"
"Peterborough Sports","North","651 Lincoln Road, Peterborough, PE1 3HA","07751688998","secretary@psfc.co.uk","www.psfc.co.uk"
"Radcliffe","North","Neuven Stadium, Colshaw Close East, Radcliffe, Manchester, M26 3PE","0161 724 8346","enquiries@radcliffefc.com","www.radcliffefc.com"
"Scarborough Athletic","North","c/o Bridlington Town AFC, The Mounting Systems Stadium, Queensgate, Bridlington, East Yorkshire YO16 7LN","07538 903723","club.secretary@scarboroughathletic.com","www.scarboroughathletic.com"
"South Shields","North","1st Cloud Arena, Shaftesbury Avenue, Jarrow NE32 3UP","0191 454 7800","info@southshields.co.uk","www.southshieldsfc.co.uk"
"Southport","North","Southport FC, Haig Avenue, Southport PR8 6JZ","01704 533422","julie.ankers@southportfc.net","www.southportfc.net"
"Spennymoor Town","North","The Brewery Field, Wood Vue, DL16 6JN","01388 827248","info@spennymoortownfc.org","www.spennymoortownfc.co.uk"
"Worksop Town","North","The Windsor Foodservice Stadium, Sandy Lane, Worksop S80 1UJ","07572 769449","worksoptownfcsecretary@gmail.com","www.worksoptownfc.com"
"AFC Totton","South","The Snows Stadium, Salisbury Road, Totton, Southampton, SO40 2RW","02380 868981","secretary@afctotton.com","www.afctotton.com"
"Bath City","South","Twerton Park, Bath BA2 1DB","01225 423087","info@bathcityfootballclub.co.uk","www.bathcityfc.com"
"Chelmsford City","South","Dunmow Group Community Stadium’ Salerno Way, Chelmsford, CM1 2EH","01245 290959","enquiries@chelmsfordcityfc.com","www.chelmsfordcityfc.com"
"Chesham United","South","The Meadow,Amy Lane,Chesham HP5 1NE","01494 783964","secretary@cheshamunited.co.uk","www.cheshamunited.co.uk"
"Chippenham Town","South","Thornbury Surfacing Ltd Stadium, Hardenhuish Park, Bristol Road, Chippenham, SN14 6LR","01249 650400","rchapp@btinternet.com","www.chippenhamtown.com"
"Dagenham & Redbridge","South","Dagenham & Redbridge Football Club, The Chigwell Construction Stadium, Victoria Road, Dagenham, Essex, RM10 7XL","02085 921549","info@daggers.co.uk","www.daggers.co.uk"
"Dorking Wanderers","South","Meadowbank Stadium, Mill Lane, Dorking, Surrey, RH4 1DX","01306 400151","info@dorkingwanderers.com","www.dwfc.co.uk"
"Dover Athletic","South","The Megger Community Stadium, Crabble Athletic Ground, Lewisham Road, Dover, Kent: CT17 0JB","01304 822373","enquiries@doverathletic.com","www.doverathletic.com"
"Eastbourne Borough","South","Eastbourne Borough Football Club, The Connect Management Stadium, Priory Lane, Eastbourne, East Sussex, BN23 7QH","01323 766265","info@ebfc.co.uk","www.ebfc.co.uk"
"Ebbsfleet United","South","Kuflink Stadium, Stonebridge Road, Northfleet, DA11 9GN","01474 533796","info@eufc.co.uk","www.ebbsfleetunited.co.uk"
"Enfield Town","South","Donkey Lane, Enfield, EN1 3PL","07970 280968","clubsecretary@etfc.london","www.etfc.london"
"Farnborough","South","Saunders Community Stadium, Cherrywood Road, Farnborough, GU14 8UD","07503 683370","info@farnboroughfc.co.uk","www.farnboroughfc.co.uk"
"Hampton & Richmond Borough","South","Beveree Stadium, Station Road, London, TW12 2BX","02089 792456","Enquiries@hamrichfc.com","www.hamrichfc.com"
"Hemel Hempstead Town","South","The Focus Community Arena, Vauxhall Road, Hemel Hempstead. Hertfordshire. HP2 4HW","01442 251521","secretary@hemelfc.com","www.hemelfc.com"
"Hornchurch","South","The Stadium, Bridge Avenue, Upminster, Essex. RM14 2LX","01708 220080","club@hornchurchfc.com","www.hornchurchfc.com"
"Horsham","South","Horsham Fusion Aviation Community Stadium Worthing Road Horsham RH13 0AD","01403 458854","admin@horshamfc.co.uk","www.horshamfc.co.uk"
"Maidenhead United","South","York Road, Maidenhead, Berkshire, SL6 1SF","01628 636314","secretary@maidenheadunitedfc.org","www.maidenheadunitedfc.org"
"Maidstone United","South","Gallagher Stadium, James Whatman Way, Maidstone, ME14 1LQ","01622 753817","info@maidstoneunited.co.uk","www.maidstoneunited.co.uk"
"Salisbury","South","Raymond McEnhill Stadium, Partridge Way, Old Sarum, Salisbury, Wiltshire, SP4 6PU","01722 776655","jimayres@salisburyfc.co.uk","www.salisburyfc.co.uk"
"Slough Town","South","Arbour Park, Stoke Road, Slough SL2 5AY","07792 126124","gensec@sloughtownfc.net","www.sloughtownfc.net"
"Tonbridge Angels","South","Yeomans Community Stadium, Darenth Avenue, Tonbridge, Kent, TN10 3JF","07900 243508","clubsecretary@tonbridgeangels.co.uk","www.tonbridgeangels.co.uk"
"Torquay United","South","Plainmoor, Warbro Road, Torquay TQ1 3PS","01803 328666","secretary@torquayunited.com","www.torquayunited.com"
"Weston-super-Mare","South","The Optima Stadium, Winterstoke Road, Weston-super-Mare, North Somerset, BS24 9AA","01934 621618","enquiries@wsmafc.co.uk","www.westonsmareafc.co.uk"
"Worthing","South","The Sussex Transport Community Stadium, Woodside Road, Worthing, West Sussex, BN14 7HQ","01903 233444","info@worthingfc.com","www.worthingfc.com"
